language_code,language_name,app_name,short_description,full_description
en,English,SnapSweep,Clean duplicate photos & screenshots.,SnapSweep is the ultimate AI-powered storage cleaner and photo gallery organizer. Automatically detect and remove duplicate photos, blurry images, unwanted screenshots, and heavy video files to reclaim gigabytes of storage space instantly. Enjoy a clean, organized gallery with smart swipe-to-clean gestures and secure trash management.
es,Spanish,SnapSweep,Limpia fotos duplicadas y capturas.,SnapSweep es el limpiador de almacenamiento definitivo con IA. Detecta y elimina fotos duplicadas, imágenes borrosas y capturas de pantalla para recuperar espacio de almacenamiento al instante. Organiza tu galería fácilmente.
fr,French,SnapSweep,Nettoyez photos et captures d'écran.,SnapSweep est l'application ultime de nettoyage de stockage par IA. Détectez et supprimez automatiquement les photos en double, les images floues et les captures d'écran inutiles pour libérer de l'espace instantanément.
de,German,SnapSweep,Fotos & Screenshots bereinigen.,SnapSweep ist der ultimative KI-Speicherreiniger und Galeriedienst. Erkennen und löschen Sie doppelte Fotos, unscharfe Bilder und Screenshots automatisch, um sofort Speicherplatz freizugeben.
pt,Portuguese,SnapSweep,Limpe fotos duplicadas e capturas.,SnapSweep é o limpador de armazenamento inteligente definitivo. Detecte e remova fotos duplicadas, imagens borradas e capturas de tela indesejadas para recuperar espaço de armazenamento instantaneamente.
it,Italian,SnapSweep,Pulisci foto duplicate e schermate.,SnapSweep è l'applicazione definitiva per la pulizia dello storage con IA. Rileva e rimuovi automaticamente foto duplicate, immagini sfocate e schermate indesiderate per liberare spazio all'istante.
ja,Japanese,SnapSweep,重複写真やスクリーンショットを削除。,SnapSweepは、AIを活用した究極のストレージクリーナーおよびフォトギャラリー整理アプリです。重複写真、ぼやけた画像、不要なスクリーンショットを自動検出し、ストレージ容量を即座に解放します。
ko,Korean,SnapSweep,중복 사진 및 스크린샷 정리.,SnapSweep은 AI 기반의 강력한 스토리지 클리너 및 갤러리 정리 앱입니다. 중복 사진, 흐린 이미지, 불필요한 스크린샷을 자동으로 감지하고 제거하여 저장 공간을 즉시 확보하세요.
zh,Chinese,SnapSweep,清理重复照片和截图。,SnapSweep 是一款终极 AI 驱动的存储清理和相册整理应用。自动检测并删除重复照片、模糊图像、不需要的截图和大型视频文件，瞬间释放存储空间。
ru,Russian,SnapSweep,Очистка фото и скриншотов.,SnapSweep — это лучший инструмент для очистки памяти и организации галереи на базе ИИ. Автоматически находите и удаляйте дубликаты фото, размытые снимки и ненужные скриншоты, чтобы мгновенно освободить место.
ar,Arabic,SnapSweep,تنظيف الصور المكررة لقطات الشاشة.,تطبيق SnapSweep هو المنظف الأذكى للذاكرة ومنظم معرض الصور بالذكاء الاصطناعي. اكتشف واحذف الصور المكررة والغير واضحة لتفريغ مساحة التخزين فوراً.
